moderator,id_request,request_time,start_time,finish_time,team
135,163583,2020-10-01 9:56:15,2020-10-01 10:19:24,2020-10-01 10:21:35,retail
135,163584,2020-10-01 9:59:18,2020-10-01 10:21:35,2020-10-01 10:22:34,retail
135,163585,2020-10-01 9:59:18,2020-10-01 10:22:35,2020-10-01 10:24:49,retail
135,163586,2020-10-01 10:01:14,2020-10-01 10:24:50,2020-10-01 10:26:04,retail
161,163587,2020-10-01 10:02:20,2020-10-01 10:02:24,2020-10-01 10:03:16,wholesale
138,163588,2020-10-01 10:02:20,2020-10-01 10:02:28,2020-10-01 10:02:40,retail
135,163590,2020-10-01 10:04:17,2020-10-01 10:27:19,2020-10-01 10:28:40,retail
114,163592,2020-10-01 10:07:18,2020-10-01 10:27:58,2020-10-01 10:28:16,retail
114,163593,2020-10-01 10:07:18,2020-10-01 10:28:17,2020-10-01 10:28:47,retail
135,163594,2020-10-01 10:07:18,2020-10-01 10:28:41,2020-10-01 10:29:40,retail
161,163597,2020-10-01 10:08:08,2020-10-01 13:37:36,2020-10-01 13:41:44,wholesale
114,163598,2020-10-01 10:12:18,2020-10-01 10:28:47,2020-10-01 10:29:19,retail
178,163599,2020-10-01 10:14:12,2020-10-01 10:14:19,2020-10-01 10:18:05,retail
114,163600,2020-10-01 10:16:10,2020-10-01 10:29:20,2020-10-01 10:29:35,retail
178,163601,2020-10-01 10:18:22,2020-10-01 10:18:53,2020-10-01 10:21:39,retail
114,163602,2020-10-01 10:20:24,2020-10-01 10:29:36,2020-10-01 10:30:02,retail
153,163603,2020-10-01 10:24:13,2020-10-01 12:35:41,2020-10-01 12:36:09,wholesale
114,163604,2020-10-01 10:28:20,2020-10-01 10:39:21,2020-10-01 10:39:39,retail
114,163605,2020-10-01 10:28:21,2020-10-01 10:39:40,2020-10-01 10:40:09,retail
114,163606,2020-10-01 10:34:09,2020-10-01 10:40:10,2020-10-01 10:41:14,retail
114,163609,2020-10-01 10:38:17,2020-10-01 10:41:14,2020-10-01 10:41:25,retail
114,163611,2020-10-01 10:40:17,2020-10-01 10:41:25,2020-10-01 10:41:51,retail
114,163613,2020-10-01 10:42:08,2020-10-01 10:46:11,2020-10-01 10:46:21,retail
114,163614,2020-10-01 10:44:21,2020-10-01 10:46:22,2020-10-01 10:46:43,retail
114,163615,2020-10-01 10:44:21,2020-10-01 10:46:44,2020-10-01 10:47:06,retail
114,163616,2020-10-01 10:44:22,2020-10-01 10:47:06,2020-10-01 10:48:44,retail
114,163617,2020-10-01 10:44:22,2020-10-01 10:48:45,2020-10-01 10:48:53,retail
141,163618,2020-10-01 10:46:20,2020-10-01 11:33:23,2020-10-01 11:34:10,retail
141,163619,2020-10-01 10:46:20,2020-10-01 11:34:11,2020-10-01 11:35:31,retail
141,163620,2020-10-01 10:48:14,2020-10-01 11:35:32,2020-10-01 11:36:56,retail
141,163621,2020-10-01 10:48:14,2020-10-01 11:36:57,2020-10-01 11:38:54,retail
141,163622,2020-10-01 10:48:15,2020-10-01 11:38:55,2020-10-01 11:42:17,retail
141,163624,2020-10-01 10:54:18,2020-10-01 10:54:28,2020-10-01 10:54:39,retail
141,163625,2020-10-01 10:54:18,2020-10-01 11:42:17,2020-10-01 11:43:55,retail
141,163626,2020-10-01 10:56:15,2020-10-01 11:51:16,2020-10-01 11:53:49,retail
141,163627,2020-10-01 10:58:10,2020-10-01 11:46:29,2020-10-01 11:46:46,retail
141,163628,2020-10-01 11:00:26,2020-10-01 11:46:46,2020-10-01 11:47:33,retail
141,163629,2020-10-01 11:02:20,2020-10-01 11:47:34,2020-10-01 11:47:55,retail
141,163630,2020-10-01 11:04:15,2020-10-01 11:47:56,2020-10-01 11:51:15,retail
135,163632,2020-10-01 11:06:14,2020-10-01 12:12:15,2020-10-01 12:13:45,retail
141,163634,2020-10-01 11:06:14,2020-10-01 11:55:07,2020-10-01 11:55:26,retail
110,163635,2020-10-01 11:06:15,2020-10-01 11:13:23,2020-10-01 11:14:41,retail
141,163636,2020-10-01 11:08:09,2020-10-01 11:55:32,2020-10-01 11:55:55,retail
141,163637,2020-10-01 11:10:23,2020-10-01 11:55:56,2020-10-01 11:57:11,retail
141,163638,2020-10-01 11:10:23,2020-10-01 11:57:12,2020-10-01 11:58:50,retail
141,163639,2020-10-01 11:10:24,2020-10-01 11:58:51,2020-10-01 11:59:01,retail
141,163640,2020-10-01 11:10:24,2020-10-01 11:59:02,2020-10-01 11:59:13,retail
141,163641,2020-10-01 11:12:17,2020-10-01 11:59:13,2020-10-01 11:59:43,retail
141,163642,2020-10-01 11:12:17,2020-10-01 11:59:44,2020-10-01 12:01:30,retail
135,163643,2020-10-01 11:12:17,2020-10-01 12:21:50,2020-10-01 12:22:37,retail
135,163644,2020-10-01 11:14:15,2020-10-01 12:22:38,2020-10-01 12:24:48,retail
141,163648,2020-10-01 11:19:12,2020-10-01 12:06:00,2020-10-01 12:06:15,retail
141,163652,2020-10-01 11:23:22,2020-10-01 12:08:29,2020-10-01 12:08:45,retail
141,163653,2020-10-01 11:24:09,2020-10-01 12:08:46,2020-10-01 12:09:05,retail
135,163655,2020-10-01 11:26:09,2020-10-01 12:08:58,2020-10-01 12:10:24,retail
173,163658,2020-10-01 11:28:19,2020-10-01 12:44:11,2020-10-01 12:47:29,retail
135,163659,2020-10-01 11:30:21,2020-10-01 12:24:49,2020-10-01 12:29:28,retail
167,163663,2020-10-01 11:36:22,2020-10-01 12:58:04,2020-10-01 13:02:02,retail
141,163664,2020-10-01 11:38:16,2020-10-01 12:14:06,2020-10-01 12:14:35,retail
141,163667,2020-10-01 11:45:12,2020-10-01 12:14:46,2020-10-01 12:15:50,retail
161,163668,2020-10-01 11:45:12,2020-10-01 13:43:57,2020-10-01 13:46:48,wholesale
141,163669,2020-10-01 11:46:18,2020-10-01 12:16:08,2020-10-01 12:16:40,retail
161,163670,2020-10-01 11:48:13,2020-10-01 11:48:34,2020-10-01 11:56:08,wholesale
135,163671,2020-10-01 11:50:09,2020-10-01 12:16:09,2020-10-01 12:17:12,retail
141,163672,2020-10-01 11:52:22,2020-10-01 12:16:41,2020-10-01 12:17:11,retail
135,163674,2020-10-01 11:56:15,2020-10-01 12:17:13,2020-10-01 12:18:20,retail
135,163675,2020-10-01 11:58:11,2020-10-01 12:18:21,2020-10-01 12:19:05,retail
135,163676,2020-10-01 12:06:14,2020-10-01 12:19:05,2020-10-01 12:21:50,retail
141,163678,2020-10-01 12:06:14,2020-10-01 12:25:34,2020-10-01 12:28:00,retail
141,163679,2020-10-01 12:08:09,2020-10-01 12:28:01,2020-10-01 12:28:19,retail
141,163680,2020-10-01 12:08:09,2020-10-01 12:28:20,2020-10-01 12:28:40,retail
141,163681,2020-10-01 12:08:09,2020-10-01 12:28:42,2020-10-01 12:29:00,retail
173,163682,2020-10-01 12:10:25,2020-10-01 12:47:30,2020-10-01 12:54:42,retail
135,163683,2020-10-01 12:10:25,2020-10-01 12:29:29,2020-10-01 12:32:03,retail
141,163686,2020-10-01 12:12:19,2020-10-01 12:29:34,2020-10-01 12:32:06,retail
173,163687,2020-10-01 12:12:19,2020-10-01 12:32:04,2020-10-01 12:37:44,retail
141,163688,2020-10-01 12:12:19,2020-10-01 12:32:07,2020-10-01 12:33:00,retail
141,163691,2020-10-01 12:14:12,2020-10-01 12:33:01,2020-10-01 12:33:11,retail
141,163692,2020-10-01 12:14:12,2020-10-01 12:33:12,2020-10-01 12:33:26,retail
141,163693,2020-10-01 12:17:24,2020-10-01 12:33:27,2020-10-01 12:33:46,retail
173,163694,2020-10-01 12:18:22,2020-10-01 12:58:57,2020-10-01 13:11:52,retail
173,163695,2020-10-01 12:22:18,2020-10-01 12:37:45,2020-10-01 12:44:10,retail
141,163696,2020-10-01 12:22:18,2020-10-01 12:35:08,2020-10-01 12:35:34,retail
173,163697,2020-10-01 12:24:11,2020-10-01 12:54:44,2020-10-01 12:58:56,retail
135,163698,2020-10-01 12:26:08,2020-10-01 12:59:51,2020-10-01 13:02:01,retail
167,163701,2020-10-01 12:30:21,2020-10-01 13:02:02,2020-10-01 13:10:00,retail
135,163706,2020-10-01 12:36:22,2020-10-01 13:02:55,2020-10-01 13:04:40,retail
103,163707,2020-10-01 12:39:25,2020-10-01 15:15:11,2020-10-01 15:20:22,wholesale
135,163710,2020-10-01 12:45:11,2020-10-01 13:04:41,2020-10-01 13:06:41,retail
135,163711,2020-10-01 12:46:22,2020-10-01 13:06:42,2020-10-01 13:08:41,retail
178,163712,2020-10-01 12:46:22,2020-10-01 12:46:56,2020-10-01 12:47:11,retail
135,163713,2020-10-01 12:46:22,2020-10-01 13:08:41,2020-10-01 13:10:27,retail
135,163714,2020-10-01 12:46:22,2020-10-01 13:10:28,2020-10-01 13:12:11,retail
173,163715,2020-10-01 12:46:22,2020-10-01 13:17:58,2020-10-01 13:21:41,retail
172,163716,2020-10-01 12:50:09,2020-10-01 13:15:49,2020-10-01 13:17:29,retail
172,163717,2020-10-01 12:50:09,2020-10-01 13:31:46,2020-10-01 13:35:53,retail
172,163719,2020-10-01 12:53:13,2020-10-01 13:12:58,2020-10-01 13:13:27,retail
172,163720,2020-10-01 12:53:13,2020-10-01 13:13:29,2020-10-01 13:14:40,retail
172,163721,2020-10-01 12:56:16,2020-10-01 13:14:42,2020-10-01 13:15:44,retail
172,163722,2020-10-01 12:56:17,2020-10-01 13:17:30,2020-10-01 13:19:00,retail
172,163724,2020-10-01 12:59:17,2020-10-01 13:19:04,2020-10-01 13:19:31,retail
173,163726,2020-10-01 13:00:25,2020-10-01 13:13:07,2020-10-01 13:15:02,retail
172,163728,2020-10-01 13:04:16,2020-10-01 13:19:33,2020-10-01 13:23:32,retail
172,163731,2020-10-01 13:10:27,2020-10-01 13:23:34,2020-10-01 13:29:25,retail
172,163733,2020-10-01 13:12:18,2020-10-01 13:30:02,2020-10-01 13:31:46,retail
172,163735,2020-10-01 13:12:18,2020-10-01 13:35:55,2020-10-01 13:38:56,retail
172,163737,2020-10-01 13:16:09,2020-10-01 13:38:57,2020-10-01 13:39:41,retail
173,163738,2020-10-01 13:16:10,2020-10-01 13:21:41,2020-10-01 13:21:53,retail
173,163739,2020-10-01 13:16:10,2020-10-01 13:21:54,2020-10-01 13:23:16,retail
172,163740,2020-10-01 13:16:10,2020-10-01 13:39:44,2020-10-01 13:45:15,retail
172,163741,2020-10-01 13:18:22,2020-10-01 13:45:16,2020-10-01 13:48:26,retail
103,163743,2020-10-01 13:18:22,2020-10-01 15:05:17,2020-10-01 15:07:17,wholesale
172,163745,2020-10-01 13:18:22,2020-10-01 13:48:28,2020-10-01 13:55:29,retail
172,163754,2020-10-01 13:28:20,2020-10-01 13:56:49,2020-10-01 13:57:20,retail
172,163756,2020-10-01 13:34:08,2020-10-01 13:57:21,2020-10-01 13:58:38,retail
128,163758,2020-10-01 13:40:14,2020-10-01 13:45:46,2020-10-01 13:50:34,wholesale
172,163763,2020-10-01 13:46:18,2020-10-01 13:58:40,2020-10-01 14:00:03,retail
187,163770,2020-10-01 13:57:22,2020-10-01 13:58:41,2020-10-01 14:12:10,wholesale
172,163772,2020-10-01 13:58:09,2020-10-01 14:01:54,2020-10-01 14:01:55,retail
172,163773,2020-10-01 14:00:30,2020-10-01 14:42:10,2020-10-01 14:42:48,retail
103,163775,2020-10-01 14:00:30,2020-10-01 15:07:18,2020-10-01 15:08:30,wholesale
172,163776,2020-10-01 14:00:30,2020-10-01 14:42:50,2020-10-01 14:43:55,retail
172,163777,2020-10-01 14:00:30,2020-10-01 14:43:57,2020-10-01 14:49:38,retail
135,163778,2020-10-01 14:03:10,2020-10-01 14:04:22,2020-10-01 14:06:02,retail
172,163780,2020-10-01 14:03:10,2020-10-01 14:49:40,2020-10-01 14:51:40,retail
172,163782,2020-10-01 14:05:21,2020-10-01 14:51:42,2020-10-01 14:57:41,retail
172,163783,2020-10-01 14:08:08,2020-10-01 14:57:48,2020-10-01 14:58:53,retail
187,163785,2020-10-01 14:14:13,2020-10-01 14:14:50,2020-10-01 14:20:10,wholesale
165,163789,2020-10-01 14:18:22,2020-10-01 15:23:11,2020-10-01 15:25:35,retail
165,163790,2020-10-01 14:18:22,2020-10-01 15:03:03,2020-10-01 15:05:57,retail
103,163792,2020-10-01 14:21:10,2020-10-01 15:08:31,2020-10-01 15:09:41,wholesale
103,163794,2020-10-01 14:24:12,2020-10-01 15:09:41,2020-10-01 15:13:17,wholesale
165,163797,2020-10-01 14:28:20,2020-10-01 15:07:46,2020-10-01 15:08:00,retail
135,163798,2020-10-01 14:30:21,2020-10-01 14:33:21,2020-10-01 14:33:53,retail
165,163800,2020-10-01 14:30:22,2020-10-01 16:02:02,2020-10-01 16:02:04,retail
165,163802,2020-10-01 14:38:17,2020-10-01 15:12:02,2020-10-01 15:12:03,retail
135,163804,2020-10-01 14:38:17,2020-10-01 14:39:08,2020-10-01 14:40:06,retail
165,163808,2020-10-01 14:40:26,2020-10-01 16:02:04,2020-10-01 16:02:23,retail
165,163812,2020-10-01 14:46:19,2020-10-01 16:02:24,2020-10-01 16:03:26,retail
116,163814,2020-10-01 14:48:14,2020-10-01 14:48:37,2020-10-01 14:50:47,wholesale
165,163817,2020-10-01 14:50:09,2020-10-01 15:08:18,2020-10-01 15:08:30,retail
178,163818,2020-10-01 14:52:22,2020-10-02 7:05:59,2020-10-02 7:10:02,retail
135,163819,2020-10-01 14:52:22,2020-10-01 14:53:38,2020-10-01 14:53:39,retail
172,163830,2020-10-01 15:02:21,2020-10-02 7:06:05,2020-10-02 7:11:19,retail
165,163831,2020-10-01 15:04:17,2020-10-01 16:06:47,2020-10-01 16:07:15,retail
165,163833,2020-10-01 15:06:14,2020-10-01 16:07:16,2020-10-01 16:12:24,retail
103,163835,2020-10-01 15:08:09,2020-10-01 15:13:18,2020-10-01 15:14:43,wholesale
103,163837,2020-10-01 15:16:15,2020-10-01 15:21:39,2020-10-01 15:21:46,wholesale
103,163839,2020-10-01 15:18:23,2020-10-01 15:21:46,2020-10-01 15:23:13,wholesale
103,163840,2020-10-01 15:18:23,2020-10-01 15:23:14,2020-10-01 15:24:49,wholesale
103,163843,2020-10-01 15:24:11,2020-10-01 15:26:13,2020-10-01 15:28:21,wholesale
103,163845,2020-10-01 15:26:10,2020-10-01 15:39:32,2020-10-01 15:42:13,wholesale
103,163851,2020-10-01 15:30:25,2020-10-01 15:42:13,2020-10-01 15:43:12,wholesale
103,163852,2020-10-01 15:38:18,2020-10-01 15:43:13,2020-10-01 15:45:03,wholesale
178,163853,2020-10-01 15:38:18,2020-10-02 7:10:02,2020-10-02 7:14:03,retail
103,163854,2020-10-01 15:40:19,2020-10-01 15:49:14,2020-10-01 15:50:38,wholesale
172,163856,2020-10-01 15:44:21,2020-10-02 7:11:21,2020-10-02 7:14:04,retail
103,163859,2020-10-01 15:47:08,2020-10-01 15:50:40,2020-10-01 15:51:49,wholesale
165,163867,2020-10-01 15:50:14,2020-10-01 18:08:56,2020-10-01 18:09:54,retail
165,163868,2020-10-01 15:50:14,2020-10-01 16:38:27,2020-10-01 16:38:36,retail
165,163869,2020-10-01 15:53:12,2020-10-01 16:38:36,2020-10-01 16:38:45,retail
165,163870,2020-10-01 15:53:12,2020-10-01 16:38:46,2020-10-01 16:38:58,retail
165,163872,2020-10-01 15:53:12,2020-10-01 16:38:59,2020-10-01 16:39:19,retail
165,163873,2020-10-01 15:53:12,2020-10-01 16:39:19,2020-10-01 16:40:01,retail
103,163878,2020-10-01 15:57:21,2020-10-01 16:14:56,2020-10-01 16:15:55,wholesale
165,163885,2020-10-01 16:00:29,2020-10-01 16:41:35,2020-10-01 16:41:36,retail
165,163887,2020-10-01 16:02:21,2020-10-01 16:43:18,2020-10-01 16:43:30,retail
103,163890,2020-10-01 16:04:17,2020-10-01 16:19:05,2020-10-01 16:21:49,wholesale
165,163892,2020-10-01 16:06:17,2020-10-01 16:43:31,2020-10-01 16:43:54,retail
165,163896,2020-10-01 16:10:23,2020-10-01 20:19:33,2020-10-01 20:23:03,retail
165,163897,2020-10-01 16:11:13,2020-10-01 18:09:55,2020-10-01 18:12:06,retail
165,163903,2020-10-01 16:14:14,2020-10-01 16:44:12,2020-10-01 16:44:45,retail
165,163905,2020-10-01 16:16:11,2020-10-01 16:44:47,2020-10-01 16:45:19,retail
165,163906,2020-10-01 16:19:15,2020-10-01 16:45:20,2020-10-01 16:45:30,retail
165,163907,2020-10-01 16:19:15,2020-10-01 16:45:31,2020-10-01 16:46:30,retail
165,163914,2020-10-01 16:30:24,2020-10-01 16:46:31,2020-10-01 16:46:40,retail
165,163919,2020-10-01 16:38:18,2020-10-01 20:23:04,2020-10-01 20:29:53,retail
165,163934,2020-10-01 17:00:28,2020-10-01 20:29:54,2020-10-01 20:33:09,retail
165,163941,2020-10-01 17:14:14,2020-10-01 18:12:07,2020-10-01 18:12:08,retail
165,163981,2020-10-01 18:02:21,2020-10-01 18:12:08,2020-10-01 18:12:42,retail
165,163982,2020-10-01 18:04:17,2020-10-01 18:12:43,2020-10-01 18:12:52,retail
103,163983,2020-10-01 18:10:22,2020-10-01 18:43:30,2020-10-01 18:43:46,wholesale
146,163985,2020-10-01 18:19:13,2020-12-15 12:34:06,2020-12-15 12:34:13,wholesale
165,163986,2020-10-01 18:24:12,2020-10-01 20:18:42,2020-10-01 20:18:53,retail
165,163988,2020-10-01 18:34:09,2020-10-01 20:18:54,2020-10-01 20:19:15,retail
103,163991,2020-10-01 18:42:10,2020-10-01 18:54:08,2020-10-01 18:55:17,wholesale
173,163992,2020-10-01 18:44:22,2020-10-02 7:06:36,2020-10-02 7:11:04,retail
178,163993,2020-10-01 18:54:18,2020-10-02 7:14:03,2020-10-02 7:15:12,retail
178,163994,2020-10-01 18:58:10,2020-10-02 7:15:12,2020-10-02 7:21:04,retail
173,164011,2020-10-01 19:30:26,2020-10-02 7:11:05,2020-10-02 7:14:32,retail
